Id_aktywacji;Data_aktywacji;FK_Wizyta;FK_Promocja
94;2024-05-24 03:55:50;295;12
95;2024-03-01 18:05:41;300;10
96;2024-02-25 13:02:39;301;3
97;2024-01-26 04:52:51;305;1
98;2024-04-30 05:40:12;309;20
99;2024-03-26 06:37:21;313;14
100;2024-04-25 17:28:42;314;15
101;2024-02-29 09:07:14;315;6
102;2024-05-15 22:28:39;316;18
103;2024-03-10 11:01:14;323;16
104;2024-06-13 00:30:44;327;1
105;2024-01-15 08:48:55;328;15
106;2024-03-13 05:04:06;336;12
107;2024-05-11 17:59:41;338;3
108;2024-01-27 16:04:53;344;12
109;2024-04-28 00:00:21;346;10
110;2024-06-15 01:49:27;348;12
111;2024-03-13 12:26:07;349;8
112;2024-06-09 14:04:17;350;2
113;2024-02-02 07:36:53;353;18
114;2024-01-02 19:08:18;375;7
115;2024-03-24 20:46:40;376;7
116;2024-03-07 10:10:13;378;7
117;2024-02-14 05:32:05;379;20
118;2024-01-10 16:25:07;381;15
119;2024-06-18 02:37:24;382;12
120;2024-06-21 17:35:53;383;17
121;2024-06-18 14:02:58;389;3
122;2024-05-15 14:40:16;392;11
123;2024-05-11 08:52:41;393;20
124;2024-05-02 23:56:09;398;3
125;2024-05-07 02:29:55;403;16
126;2024-01-10 01:15:42;409;18
127;2024-01-11 19:49:06;412;1
128;2024-06-08 09:56:55;430;5
129;2024-02-05 11:34:24;434;10
130;2024-06-04 11:19:45;435;17
131;2024-01-05 17:05:31;436;3
132;2024-04-22 13:39:58;437;1
133;2024-03-11 04:41:26;439;11
134;2024-04-13 20:25:09;445;18
135;2024-03-25 07:45:08;448;20
136;2024-02-09 00:20:09;451;20
137;2024-01-16 11:20:47;453;17
138;2024-01-29 07:25:15;455;14
139;2024-04-18 08:59:41;456;5
140;2024-03-15 07:26:52;460;10
141;2024-04-17 06:44:52;465;1
142;2024-03-04 04:10:45;466;19
143;2024-03-26 01:49:16;467;4
144;2024-05-17 12:33:33;470;9
145;2024-06-27 21:05:20;471;9
146;2024-01-06 18:03:20;472;14
147;2024-05-19 18:49:33;476;9
148;2024-02-06 02:30:04;481;4
149;2024-01-14 11:16:19;482;7
150;2024-05-30 09:05:13;485;4
151;2024-02-27 22:39:30;486;14
152;2024-04-06 22:14:25;487;20
153;2024-04-30 21:17:13;489;20
154;2024-02-02 02:57:21;494;11
155;2024-05-22 10:35:52;497;4
156;2024-02-11 05:50:32;502;6
157;2024-04-21 12:05:04;503;1
158;2024-03-11 22:27:01;506;11
159;2024-01-31 19:56:48;507;5
160;2024-01-03 14:51:51;512;13
161;2024-05-21 10:42:34;518;5
162;2024-03-03 16:29:35;520;1
163;2024-02-07 05:22:50;533;1
164;2024-06-12 04:33:19;534;5
165;2024-02-14 22:47:28;535;19
166;2024-01-13 07:41:01;540;5
167;2024-04-22 03:25:11;547;11
168;2024-02-12 23:17:00;548;11
169;2024-01-31 23:59:18;553;6
170;2024-03-31 17:01:35;558;20
171;2024-03-03 12:02:17;559;9
172;2024-05-13 16:28:35;561;7
173;2024-02-08 22:54:24;562;16
174;2024-04-02 02:35:45;563;16
175;2024-04-02 17:24:04;566;2
176;2024-01-07 13:11:26;568;4
177;2024-02-16 15:02:27;569;12
178;2024-01-18 15:05:38;573;8
179;2024-04-04 07:19:51;574;9
180;2024-01-17 19:44:51;575;13
181;2024-01-24 22:04:18;577;15
182;2024-05-10 12:58:35;578;6
183;2024-03-24 06:28:03;580;17
184;2024-04-20 05:55:46;586;19
185;2024-03-15 10:11:38;589;5
186;2024-02-09 19:51:25;590;12
187;2024-06-08 18:17:23;591;14
188;2024-04-18 11:58:30;595;13
189;2024-03-08 14:40:53;599;11
190;2024-04-30 02:44:51;605;19
191;2024-05-18 08:33:26;606;4
192;2024-02-06 18:34:57;607;9
193;2024-01-23 00:11:39;609;3
194;2024-03-19 00:36:11;612;18
195;2024-05-24 02:08:29;614;6
196;2024-03-28 21:09:20;615;2
197;2024-01-23 06:01:58;616;14
198;2024-04-16 20:19:25;617;6
199;2024-03-07 18:56:07;621;4
200;2024-05-22 07:12:55;624;9
201;2024-06-08 21:58:04;627;7
202;2024-05-10 07:39:57;628;1
203;2024-01-07 09:37:31;630;16
204;2024-01-09 01:17:46;631;2
205;2024-02-28 17:31:35;637;20
206;2024-05-15 23:42:08;640;4
207;2024-03-22 11:37:00;641;17
208;2024-02-23 14:49:48;645;15
209;2024-06-27 01:18:13;646;9
210;2024-04-05 10:02:24;649;11
211;2024-01-26 23:21:21;650;5
212;2024-04-25 08:01:38;661;5
213;2024-06-27 13:04:00;663;6
214;2024-02-07 18:15:24;667;13
215;2024-06-18 06:25:56;668;9
216;2024-06-25 11:28:59;676;4
217;2024-02-05 12:27:11;678;15
218;2024-06-02 06:31:50;683;19
219;2024-04-30 23:55:34;686;10
220;2024-06-05 09:05:21;687;11
221;2024-05-26 15:52:06;688;18
222;2024-03-03 19:59:13;689;15
223;2024-03-30 19:34:34;693;5
224;2024-02-12 16:53:07;699;1
225;2024-05-06 07:18:55;703;6
226;2024-05-26 16:31:12;710;11
227;2024-06-06 08:44:02;711;2
228;2024-06-19 22:01:01;714;13
229;2024-04-11 01:43:07;717;15
230;2024-04-18 10:54:54;721;9
231;2024-01-07 15:58:06;726;9
232;2024-01-22 08:34:37;727;1
233;2024-03-03 11:18:24;728;18
234;2024-02-19 17:17:32;731;20
235;2024-03-09 10:04:53;733;11
236;2024-01-19 09:02:31;736;20
237;2024-02-10 12:43:27;738;18
238;2024-01-31 01:44:21;742;5
239;2024-02-11 05:24:24;744;8
240;2024-06-29 09:17:43;751;20
241;2024-05-11 08:13:16;754;4
242;2024-05-03 05:18:40;755;20
243;2024-02-27 16:35:17;762;13
244;2024-05-13 19:18:46;764;18
245;2024-06-01 02:12:12;770;15
246;2024-01-13 07:31:07;771;9
247;2024-03-08 09:33:35;774;15
248;2024-04-17 06:15:30;789;6
249;2024-01-14 09:47:41;790;12
250;2024-06-06 01:31:58;793;7
251;2024-04-08 22:32:40;801;13
252;2024-01-04 23:25:59;804;20
253;2024-06-03 12:44:03;805;10
254;2024-04-01 14:09:33;806;2
255;2024-04-27 23:54:19;811;11
256;2024-04-15 19:16:10;813;1
257;2024-02-15 09:12:07;814;8
258;2024-03-28 01:33:14;815;10
259;2024-02-17 22:53:40;817;5
260;2024-05-29 06:06:17;819;17
261;2024-03-17 18:04:04;820;10
262;2024-06-29 22:12:57;823;16
263;2024-06-23 17:40:57;824;11
264;2024-03-05 08:00:32;828;19
265;2024-01-04 23:32:01;831;2
266;2024-06-18 01:28:36;832;1
267;2024-03-18 19:55:17;835;20
268;2024-01-20 14:11:06;838;2
269;2024-02-22 09:15:32;842;11
270;2024-03-10 14:36:00;848;20
271;2024-02-02 13:54:47;850;12
272;2024-05-23 20:29:25;851;11
273;2024-02-16 07:57:40;852;12
274;2024-04-03 03:20:13;853;18
275;2024-01-31 16:41:35;858;8
276;2024-04-29 22:35:40;862;17
277;2024-06-26 21:41:18;863;14
278;2024-06-17 19:11:41;864;15
279;2024-05-03 11:21:50;865;3
280;2024-06-18 04:53:57;870;8
281;2024-06-21 11:40:52;877;2
282;2024-02-16 14:58:29;880;9
283;2024-03-18 20:26:04;882;20
284;2024-06-19 14:22:41;886;16
285;2024-03-10 07:45:05;896;17
286;2024-03-09 14:32:03;898;15
287;2024-04-01 09:25:59;900;12
288;2024-06-15 16:50:37;905;8
289;2024-02-01 02:46:34;906;5
290;2024-06-08 18:34:30;918;10
291;2024-05-31 22:28:52;919;5
292;2024-01-22 09:50:15;921;16
293;2024-01-17 18:00:08;924;3
294;2024-03-10 00:17:28;929;11
295;2024-02-02 08:37:53;932;10
296;2024-06-28 19:50:53;933;18
297;2024-01-01 04:23:39;934;13
298;2024-05-22 04:47:12;940;13
299;2024-02-17 12:41:29;951;5
300;2024-03-26 01:49:08;955;7
301;2024-06-15 01:24:14;957;18
302;2024-02-24 20:33:36;958;3
303;2024-06-16 20:38:26;959;6
304;2024-03-26 10:51:01;960;4
305;2024-01-07 07:19:40;962;17
306;2024-01-14 16:18:28;969;10
307;2024-06-26 17:00:19;979;7
308;2024-04-08 21:55:52;980;4
309;2024-01-06 19:50:50;982;19
310;2024-02-25 04:38:36;983;19
311;2024-06-02 14:25:08;985;6
312;2024-06-22 02:12:14;991;9
313;2024-01-16 22:48:23;998;19
314;2024-02-20 03:20:39;1000;20
315;2024-03-22 22:33:02;1008;5
316;2024-04-26 04:11:46;1013;10
317;2024-06-02 23:19:15;1016;8
318;2024-06-15 06:16:08;1018;3
319;2024-06-22 07:26:59;1021;17
320;2024-01-12 17:15:18;1026;11
321;2024-03-10 08:53:17;1041;18
322;2024-04-12 03:28:44;1042;8
323;2024-05-13 17:27:33;1044;15
324;2024-03-23 11:28:58;1045;13
325;2024-02-11 07:14:07;1046;9
326;2024-02-11 11:09:18;1049;14
327;2024-03-29 18:03:37;1054;1
328;2024-06-21 00:36:35;1055;17
329;2024-02-10 04:26:32;1056;9
330;2024-04-12 09:25:23;1060;10
331;2024-06-05 05:26:30;1066;1
332;2024-05-01 15:13:46;1077;2
333;2024-02-29 15:24:55;1079;7
334;2024-05-19 19:41:17;1081;12
335;2024-04-05 16:41:26;1082;3
336;2024-06-09 17:26:18;1083;8
337;2024-04-20 14:59:01;1084;3
338;2024-02-08 05:52:19;1086;7
339;2024-05-04 19:51:11;1089;11
340;2024-02-02 01:03:54;1092;8
341;2024-04-23 15:15:44;1094;7
342;2024-04-10 04:34:44;1095;18
343;2024-04-07 12:48:08;1096;7
344;2024-04-28 06:08:59;1097;10
345;2024-03-04 15:03:05;1101;4
346;2024-06-21 12:18:11;1103;13
347;2024-03-31 11:02:08;1107;1
348;2024-02-08 12:55:15;1111;16
349;2024-05-09 15:56:29;1113;18
350;2024-06-15 04:54:11;1119;7
351;2024-01-10 06:10:39;1121;6
352;2024-06-18 14:50:41;1122;7
353;2024-06-09 13:30:47;1123;19
354;2024-04-14 18:30:20;1124;16
355;2024-04-21 18:01:01;1127;8
356;2024-06-09 12:09:55;1128;19
357;2024-06-01 21:53:30;1130;13
358;2024-01-06 10:58:22;1131;19
359;2024-04-05 21:21:28;1132;1
360;2024-06-24 21:36:10;1133;20
361;2024-04-21 13:34:25;1135;7
362;2024-04-21 09:43:54;1136;2
363;2024-05-19 10:58:42;1138;14
364;2024-06-02 05:40:33;1141;17
365;2024-03-01 06:23:07;1144;4
366;2024-04-06 16:07:25;1166;15
367;2024-03-10 12:54:17;1168;2
368;2024-04-07 08:30:03;1173;11
369;2024-05-11 12:09:25;1176;15
370;2024-05-30 00:23:21;1178;16
371;2024-03-08 01:22:55;1180;17
372;2024-03-04 07:22:55;1181;7
373;2024-06-26 12:20:27;1183;6
374;2024-05-04 06:18:37;1186;1
375;2024-05-30 20:26:22;1187;12
376;2024-03-05 01:04:02;1196;20
377;2024-02-29 19:43:26;1197;6
378;2024-06-20 06:20:36;1202;4
379;2024-01-17 15:59:28;1206;9
380;2024-01-05 15:04:16;1207;4
381;2024-04-20 01:16:15;1209;20
382;2024-02-12 15:28:04;1211;12
383;2024-06-21 11:15:15;1212;2
384;2024-05-20 21:07:27;1219;15
385;2024-05-07 12:48:18;1220;8
386;2024-03-05 03:07:45;1226;4
387;2024-03-17 12:39:03;1228;1
388;2024-05-26 07:37:16;1235;18
389;2024-02-29 15:08:20;1236;7
390;2024-06-05 13:50:14;1240;11
391;2024-06-21 01:45:14;1254;12
392;2024-06-28 19:10:11;1255;1
393;2024-05-13 16:30:45;1256;1
394;2024-05-15 17:29:16;1258;3
395;2024-05-11 03:12:36;1262;4
396;2024-06-22 09:00:41;1267;12
397;2024-04-26 01:14:39;1277;1
398;2024-03-10 05:00:25;1284;10
399;2024-04-07 00:57:20;1287;11
400;2024-03-23 14:32:54;1290;15
401;2024-01-20 20:43:06;1291;3
402;2024-06-12 00:41:43;1296;10
403;2024-05-04 21:49:11;1301;8
404;2024-04-29 18:52:13;1304;18
405;2024-02-06 17:10:23;1305;10
406;2024-03-30 12:52:45;1306;6
407;2024-03-15 18:00:34;1315;11
408;2024-04-26 21:51:47;1316;8
409;2024-05-29 20:29:20;1318;17
410;2024-02-01 18:37:02;1321;16
411;2024-06-08 14:19:53;1326;17
412;2024-01-06 03:46:07;1330;7
413;2024-04-28 09:25:38;1331;6
414;2024-03-28 15:11:58;1335;3
415;2024-03-13 17:53:55;1337;15
416;2024-01-08 10:23:19;1338;17
417;2024-03-14 00:52:59;1339;4
418;2024-03-29 12:04:56;1341;7
419;2024-03-18 15:00:32;1353;15
420;2024-02-12 18:53:06;1359;1
421;2024-06-01 14:02:29;1361;1
422;2024-04-21 00:40:22;1362;18
423;2024-06-08 06:41:07;1363;12
424;2024-03-01 00:08:23;1365;19
425;2024-02-17 08:37:03;1367;15
426;2024-03-29 21:02:46;1368;12
427;2024-06-23 21:26:32;1371;20
428;2024-01-25 03:00:29;1373;8
429;2024-02-25 18:21:07;1376;13
430;2024-02-15 20:54:46;1378;13
431;2024-03-21 08:52:46;1382;1
432;2024-05-13 23:28:11;1384;7
433;2024-02-29 07:47:24;1385;19
434;2024-03-11 18:36:06;1389;12
435;2024-06-18 04:44:55;1390;1
436;2024-05-04 05:15:30;1395;12
437;2024-02-06 19:41:29;1396;8
438;2024-03-24 15:29:46;1401;6
439;2024-04-25 00:01:18;1403;14
440;2024-04-11 23:12:34;1405;10
441;2024-01-26 23:25:18;1410;2
442;2024-02-26 20:14:43;1411;18
443;2024-04-10 06:18:56;1415;14
444;2024-06-19 13:42:56;1418;7
445;2024-04-09 17:07:03;1420;7
446;2024-02-19 12:22:52;1423;8
447;2024-05-13 03:12:26;1424;3
448;2024-02-06 16:10:26;1426;20
449;2024-02-27 19:40:03;1430;4
450;2024-03-28 19:42:31;1432;5
451;2024-05-02 17:28:33;1434;1
452;2024-03-08 14:37:12;1438;12
453;2024-04-18 02:40:38;1439;3
454;2024-05-07 06:38:26;1443;7
455;2024-06-04 02:59:19;1451;4
456;2024-01-26 02:04:59;1455;1
457;2024-02-17 13:38:05;1456;18
458;2024-02-23 04:20:57;1459;5
459;2024-02-04 04:44:44;1462;20
460;2024-03-13 00:10:37;1463;9
461;2024-01-31 05:14:39;1465;4
462;2024-01-25 12:04:26;1470;9
463;2024-04-24 21:37:02;1473;4
464;2024-01-15 00:34:55;1476;14
465;2024-05-25 00:53:09;1478;13
466;2024-05-27 20:37:36;1482;11
467;2024-01-28 05:41:14;1486;3
468;2024-06-06 02:12:05;1487;4
469;2024-06-26 00:34:35;1488;15
470;2024-01-02 03:39:27;1491;3
471;2024-05-19 14:10:53;1492;1
472;2024-01-05 19:14:14;1494;19
473;2024-03-09 02:33:13;1495;9
474;2024-06-29 17:34:02;1499;6
475;2024-03-20 17:35:02;1501;3
476;2024-02-18 15:09:37;1505;16
477;2024-05-22 12:24:34;1506;5
478;2024-03-06 03:54:52;1509;3
479;2024-01-01 22:07:30;1510;1
480;2024-04-02 02:28:43;1517;7
481;2024-01-05 10:30:45;1521;8
482;2024-05-23 06:43:59;1522;9
483;2024-04-19 09:59:01;1523;14
484;2024-06-15 15:06:06;1524;18
485;2024-04-27 21:52:59;1527;13
486;2024-05-12 04:09:16;1528;13
487;2024-02-09 00:19:50;1529;3
488;2024-05-09 10:10:50;1531;5
489;2024-05-26 05:08:33;1532;6
490;2024-05-07 17:25:59;1534;18
491;2024-06-10 23:24:51;1535;19
492;2024-05-24 23:31:06;1538;4
493;2024-05-31 19:57:31;1541;14
494;2024-04-27 20:51:58;1544;3
495;2024-02-07 04:12:15;1545;14
496;2024-01-25 18:28:15;1547;11
497;2024-05-01 19:55:48;1554;9
498;2024-02-01 18:02:40;1555;9
499;2024-03-02 16:21:57;1556;8
500;2024-04-16 00:30:49;1557;12
501;2024-01-22 12:41:23;1564;17
502;2024-06-17 00:04:54;1566;3
503;2024-06-26 20:21:34;1570;2
504;2024-06-27 06:49:01;1573;17
505;2024-03-03 21:22:56;1575;11
506;2024-04-15 09:39:29;1578;19
507;2024-02-21 16:49:31;1586;14
508;2024-05-02 15:06:04;1588;9
509;2024-05-22 10:19:06;1591;17
510;2024-02-01 05:51:49;1592;16
511;2024-04-24 06:17:31;1603;13
512;2024-05-23 12:15:37;1607;6
513;2024-04-10 12:27:06;1611;20
514;2024-06-04 20:48:53;1612;3
515;2024-02-16 13:43:18;1614;11
516;2024-06-27 23:08:13;1616;11
517;2024-04-06 12:37:15;1621;13
518;2024-05-15 06:10:35;1624;13
519;2024-02-07 17:46:07;1626;5
520;2024-01-29 10:49:43;1628;18
521;2024-03-02 14:24:06;1629;19
522;2024-04-25 17:59:42;1647;6
523;2024-02-23 12:17:02;1651;3
524;2024-06-09 00:57:29;1663;10
525;2024-03-22 11:05:08;1667;18
526;2024-04-20 13:29:03;1669;1
527;2024-02-15 21:12:02;1671;18
528;2024-05-02 03:53:39;1673;15
529;2024-05-30 07:05:58;1675;3
530;2024-03-19 07:55:07;1677;12
531;2024-03-10 07:28:41;1679;13
532;2024-06-11 22:00:01;1680;7
533;2024-04-04 21:43:28;1683;11
534;2024-04-01 09:20:42;1686;12
535;2024-04-05 11:28:59;1687;15
536;2024-06-18 13:41:12;1688;4
537;2024-01-19 10:31:29;1690;15
538;2024-05-16 16:50:37;1697;6
539;2024-06-13 22:46:21;1699;1
540;2024-05-23 03:24:30;1700;13
541;2024-02-13 16:32:54;1702;20
542;2024-05-18 06:08:44;1704;4
543;2024-04-20 11:08:02;1708;20
544;2024-03-25 11:03:47;1709;10
545;2024-02-05 16:00:42;1713;10
546;2024-04-28 22:29:07;1714;10
547;2024-06-06 16:12:10;1716;8
548;2024-04-30 21:43:46;1717;16
549;2024-06-30 00:17:38;1718;16
550;2024-02-05 08:10:37;1724;3
551;2024-04-22 20:36:53;1725;8
552;2024-03-28 02:23:26;1726;17
553;2024-05-23 02:27:40;1729;9
554;2024-04-21 18:33:49;1734;5
555;2024-02-10 09:28:53;1736;7
556;2024-04-08 12:28:53;1739;19
557;2024-02-29 08:52:38;1740;16
558;2024-04-12 08:32:13;1745;6
559;2024-03-10 12:54:10;1748;8
560;2024-06-03 02:56:32;1753;20
561;2024-01-14 12:04:56;1754;11
562;2024-04-05 05:29:46;1756;2
563;2024-06-12 20:38:22;1757;15
564;2024-04-30 14:40:27;1760;7
565;2024-04-04 11:46:48;1763;10
566;2024-05-08 15:18:31;1767;9
567;2024-06-18 20:12:08;1772;3
568;2024-02-04 13:28:27;1773;3
569;2024-02-19 19:22:18;1783;3
570;2024-01-04 00:49:42;1787;15
571;2024-05-23 08:00:51;1788;8
572;2024-02-18 05:05:57;1794;7
573;2024-04-06 05:49:33;1797;16
574;2024-06-27 00:24:59;1798;12
575;2024-05-03 10:56:11;1803;4
576;2024-05-12 23:48:20;1805;17
577;2024-02-04 07:11:33;1809;18
578;2024-04-01 14:13:04;1810;9
579;2024-03-15 19:57:14;1814;4
580;2024-06-14 15:55:51;1815;1
581;2024-04-06 12:39:32;1828;15
582;2024-03-15 02:55:26;1829;19
583;2024-01-20 16:33:31;1831;2
584;2024-05-31 11:10:36;1836;6
585;2024-05-31 13:22:37;1839;11
586;2024-04-03 09:11:13;1840;10
587;2024-03-04 15:42:41;1853;12
588;2024-04-28 02:19:04;1855;9
589;2024-01-17 00:58:20;1857;20
590;2024-03-27 13:31:36;1864;2
591;2024-01-29 14:15:53;1870;1
592;2024-02-12 11:33:25;1873;11
593;2024-05-13 07:34:29;1874;18
594;2024-03-08 16:14:43;1882;8
595;2024-03-11 10:27:48;1889;17
596;2024-03-17 19:15:56;1890;20
597;2024-02-12 20:49:28;1891;17
598;2024-06-17 21:42:09;1892;19
599;2024-06-23 06:26:33;1893;13
600;2024-03-26 20:02:06;1897;12
601;2024-03-27 04:25:33;1912;17
602;2024-01-23 21:51:20;1914;11
603;2024-04-18 22:31:13;1920;2
604;2024-06-15 19:41:13;1928;13
605;2024-06-17 23:32:13;1929;3
606;2024-02-02 20:30:22;1931;2
607;2024-05-06 14:41:39;1943;2
608;2024-02-21 08:55:29;1947;1
609;2024-02-04 10:33:28;1948;14
610;2024-01-18 05:26:51;1950;2
611;2024-03-20 22:35:33;1951;14
612;2024-02-17 09:16:16;1956;16
613;2024-06-15 19:41:47;1961;2
614;2024-03-17 18:44:26;1966;5
615;2024-02-22 12:14:54;1976;20
616;2024-06-27 03:15:44;1985;3
617;2024-03-17 08:33:08;1989;13
618;2024-01-24 06:50:19;1990;4
619;2024-06-01 06:44:06;1992;15
620;2024-04-12 01:56:57;1997;5
621;2024-03-23 22:26:30;1999;14
622;2024-02-16 14:58:22;2000;11
623;2024-02-02 10:31:17;2002;5
624;2024-04-24 08:42:11;2007;20
625;2024-01-03 12:56:24;2012;18
626;2024-04-02 01:01:37;2013;3
627;2024-03-08 06:29:10;2015;17
628;2024-04-25 06:35:47;2018;20
629;2024-03-23 00:56:40;2021;8
630;2024-05-16 07:44:19;2024;11
631;2024-03-24 19:50:41;2026;10
632;2024-06-20 23:44:25;2039;9
633;2024-02-20 00:44:58;2040;13
634;2024-01-03 14:52:25;2042;15
635;2024-04-22 23:27:25;2043;12
636;2024-01-15 10:47:28;2044;17
637;2024-01-31 00:34:31;2046;4
638;2024-06-07 14:24:56;2050;10
639;2024-02-22 13:54:25;2052;15
640;2024-06-05 19:38:16;2057;15
641;2024-02-25 05:01:39;2067;12
642;2024-03-01 08:46:24;2071;14
643;2024-03-08 21:08:28;2072;20
644;2024-05-06 00:16:34;2075;9
645;2024-01-20 23:02:38;2081;2
646;2024-01-11 15:38:09;2084;5
647;2024-06-27 18:19:39;2085;18
648;2024-03-07 14:28:19;2088;14
649;2024-01-11 00:03:31;2091;12
650;2024-01-04 09:47:38;2092;16
651;2024-04-18 02:43:35;2096;14
652;2024-05-17 10:28:33;2105;20
653;2024-05-28 09:45:17;2107;8
654;2024-02-08 19:52:24;2109;20
655;2024-03-02 11:14:03;2116;4
656;2024-02-19 15:08:12;2119;11
657;2024-01-08 13:39:22;2121;20
658;2024-04-01 01:14:15;2122;3
659;2024-03-29 01:11:56;2128;18
660;2024-02-01 19:45:56;2130;11
661;2024-02-05 04:26:41;2132;19
662;2024-05-11 14:24:31;2135;2
663;2024-06-18 20:14:07;2136;14
664;2024-01-25 02:19:43;2137;16
665;2024-04-30 02:33:37;2140;20
666;2024-03-24 06:57:07;2141;13
667;2024-03-16 03:48:44;2143;10
668;2024-03-31 14:41:28;2144;11
669;2024-02-03 15:34:10;2146;8
670;2024-01-26 03:48:42;2161;9
671;2024-01-08 08:41:10;2169;20
672;2024-06-10 19:05:14;2170;12
673;2024-04-03 19:40:56;2174;14
674;2024-03-22 16:14:03;2176;8
675;2024-05-17 23:10:40;2181;10
676;2024-02-17 14:14:35;2183;13
677;2024-03-19 18:52:14;2193;4
678;2024-04-20 22:36:09;2196;2
679;2024-01-19 19:12:43;2199;13
680;2024-02-05 08:53:45;2200;11
681;2024-01-11 05:09:05;2203;5
682;2024-02-28 15:14:29;2205;18
683;2024-02-28 12:01:51;2206;15
684;2024-06-19 14:37:45;2208;12
685;2024-04-02 20:29:57;2214;19
686;2024-05-23 17:06:25;2221;11
687;2024-06-24 06:01:43;2222;7
688;2024-05-24 18:51:27;2223;11
689;2024-06-29 02:42:36;2224;6
690;2024-04-09 00:11:12;2231;7
691;2024-02-02 13:16:11;2233;7
692;2024-01-30 00:54:24;2236;4
693;2024-01-15 03:10:31;2237;1
694;2024-05-08 04:34:46;2243;2
695;2024-04-01 10:44:25;2246;7
696;2024-03-24 18:14:35;2248;4
697;2024-01-16 08:48:14;2253;14
698;2024-06-23 21:33:55;2256;15
699;2024-03-30 12:43:37;2266;4
700;2024-01-20 04:52:03;2267;15
701;2024-03-11 00:12:37;2268;8
702;2024-06-17 09:23:36;2269;9
703;2024-06-08 06:58:28;2270;15
704;2024-02-19 16:42:15;2273;17
705;2024-06-15 08:34:01;2279;14
706;2024-06-14 06:00:25;2284;10
707;2024-05-25 14:09:11;2285;10
708;2024-06-18 17:02:33;2289;4
709;2024-01-26 16:56:42;2291;17
710;2024-03-23 09:33:49;2292;18
711;2024-04-15 21:13:03;2293;4
712;2024-04-10 19:10:25;2294;3
